Order_ID,Customer_ID,Order_Date,Product,Category,Country,Sales_Channel,Quantity,Unit_Price_MAD,Discount_Rate,Revenue_MAD,Cost_MAD,Profit_MAD
O100016,10114,2025-02-10,Honey 500g,Pantry,Morocco,Supermarket,2,35.37,0.05,67.2,41.48,25.72
O100041,10109,2025-02-10,Honey 500g,Pantry,Spain,Retail,2,36.98,0.1,66.56,49.11,17.45
O100341,10020,2025-02-10,Milk 1L,Dairy,Morocco,Online,1,8.44,0.0,8.44,6.25,2.19
O100128,10048,2025-02-10,Milk 1L,Dairy,Morocco,Retail,5,7.58,0.0,37.9,23.97,13.93
O100228,10074,2025-02-11,Honey 500g,Pantry,Morocco,Supermarket,4,41.44,0.0,165.76,106.74,59.02
O100312,10085,2025-02-13,Cheese 500g,Dairy,Morocco,Supermarket,1,41.13,0.05,39.07,23.95,15.12
O100152,10008,2025-02-13,Tuna 160g,Canned Goods,Morocco,Retail,1,9.09,0.0,9.09,6.23,2.86
O100322,10089,2025-02-13,Dates 1kg,Pantry,Morocco,Supermarket,1,53.32,0.0,53.32,36.0,17.32
O100492,10115,2025-02-13,Couscous 1kg,Grains,Morocco,Supermarket,3,17.47,0.05,49.79,37.03,12.76
O100049,10113,2025-02-15,Tomato Sauce,Canned Goods,Morocco,Supermarket,5,12.08,0.15,51.34,31.29,20.05
O100254,10022,2025-02-15,Milk 1L,Dairy,Spain,Retail,2,8.22,0.1,14.8,10.59,4.21
O100336,10117,2025-02-16,Couscous 5kg,Grains,Morocco,Retail,4,72.79,0.1,262.04,182.83,79.21
O100235,10066,2025-02-16,Olive Oil 1L,Oils,Morocco,Online,3,35.4,0.05,100.89,74.3,26.59
O100164,10071,2025-02-18,Olive Oil 1L,Oils,Spain,Online,4,35.86,0.1,129.1,89.54,39.56
O100301,10005,2025-02-19,Couscous 5kg,Grains,Morocco,Supermarket,2,77.81,0.0,155.62,98.63,56.99
O100372,10080,2025-02-20,Couscous 1kg,Grains,Morocco,Supermarket,3,18.75,0.0,56.25,39.19,17.06
O100299,10109,2025-02-20,Flour 5kg,Baking,Morocco,Online,4,47.08,0.0,188.32,142.81,45.51
O100204,10100,2025-02-23,Milk 1L,Dairy,France,Supermarket,2,8.78,0.0,17.56,11.62,5.94
O100326,10117,2025-02-24,Couscous 5kg,Grains,Morocco,Retail,5,71.15,0.05,337.96,254.9,83.06
O100052,10034,2025-02-25,Honey 500g,Pantry,France,Online,4,37.3,0.0,149.2,95.73,53.47
O100070,10112,2025-02-26,Dates 1kg,Pantry,Morocco,Supermarket,2,56.73,0.15,96.44,72.96,23.48
O100494,10037,2025-02-27,Olive Oil 1L,Oils,Morocco,Online,2,34.53,0.0,69.06,49.12,19.94
O100455,10063,2025-02-27,Olive Oil 1L,Oils,Morocco,Supermarket,3,36.17,0.15,92.23,66.74,25.49
O100484,10115,2025-02-28,Tomato Sauce,Canned Goods,Morocco,Online,3,11.61,0.0,34.83,26.03,8.8
O100281,10109,2025-03-02,Couscous 1kg,Grains,Morocco,Supermarket,2,17.86,0.1,32.15,23.82,8.33
O100163,10033,2025-03-03,Flour 5kg,Baking,Belgium,Supermarket,1,45.87,0.0,45.87,27.19,18.68
O100189,10019,2025-03-06,Olive Oil 1L,Oils,Morocco,Retail,4,38.03,0.0,152.12,113.68,38.44
O100046,10098,2025-03-07,Cheese 500g,Dairy,France,Retail,2,42.04,0.0,84.08,59.52,24.56
O100209,10037,2025-03-08,Tuna 160g,Canned Goods,Morocco,Online,3,8.71,0.0,26.13,16.8,9.33
O100362,10074,2025-03-09,Tomato Sauce,Canned Goods,Morocco,Retail,2,11.19,0.0,22.38,16.67,5.71
O100378,10047,2025-03-10,Tuna 160g,Canned Goods,Morocco,Online,3,9.82,0.0,29.46,22.18,7.28
O100403,10075,2025-03-10,Flour 5kg,Baking,Morocco,Retail,1,48.29,0.1,43.46,27.84,15.62
O100181,10018,2025-03-10,Tuna 160g,Canned Goods,Morocco,Supermarket,4,9.0,0.0,36.0,25.8,10.2
O100006,10043,2025-03-10,Honey 500g,Pantry,Belgium,Supermarket,1,37.3,0.05,35.43,25.7,9.73
O100112,10115,2025-03-11,Flour 5kg,Baking,Morocco,Retail,2,53.59,0.0,107.18,78.9,28.28
O100229,10014,2025-03-11,Couscous 5kg,Grains,Morocco,Online,4,69.52,0.05,264.18,156.42,107.76
O100144,10109,2025-03-13,Couscous 1kg,Grains,Morocco,Retail,2,18.11,0.1,32.6,22.68,9.92
O100479,10076,2025-03-13,Flour 1kg,Baking,Morocco,Online,1,10.52,0.0,10.52,6.37,4.15
O100033,10069,2025-03-14,Flour 1kg,Baking,Morocco,Retail,4,11.93,0.0,47.72,31.71,16.01
O100447,10009,2025-03-15,Milk 1L,Dairy,Morocco,Supermarket,1,8.1,0.0,8.1,5.79,2.31
O100185,10059,2025-03-16,Honey 500g,Pantry,Morocco,Supermarket,3,39.92,0.05,113.77,85.51,28.26
O100088,10018,2025-03-17,Tomato Sauce,Canned Goods,Morocco,Supermarket,2,11.42,0.0,22.84,16.78,6.06
O100045,10048,2025-03-17,Olive Oil 1L,Oils,Morocco,Retail,4,32.96,0.1,118.66,70.97,47.69
O100472,10039,2025-03-17,Olive Oil 1L,Oils,Spain,Online,2,35.58,0.1,64.04,38.74,25.3
O100149,10005,2025-03-18,Olive Oil 5L,Oils,Morocco,Retail,4,160.98,0.1,579.53,359.88,219.65
O100433,10109,2025-03-18,Dates 1kg,Pantry,Morocco,Supermarket,2,52.61,0.0,105.22,62.6,42.62
O100431,10021,2025-03-21,Olive Oil 1L,Oils,France,Supermarket,3,35.57,0.0,106.71,62.47,44.24
O100068,10090,2025-03-21,Couscous 5kg,Grains,Morocco,Retail,3,77.39,0.0,232.17,134.97,97.2
O100387,10099,2025-03-23,Milk 1L,Dairy,Morocco,Supermarket,4,7.76,0.0,31.04,19.36,11.68
O100170,10099,2025-03-23,Dates 1kg,Pantry,Morocco,Retail,2,57.95,0.0,115.9,84.53,31.37
O100271,10018,2025-03-24,Olive Oil 1L,Oils,Morocco,Online,2,33.56,0.0,67.12,45.74,21.38
O100427,10011,2025-03-24,Couscous 5kg,Grains,Morocco,Online,3,70.48,0.05,200.87,148.69,52.18
O100148,10017,2025-03-24,Dates 1kg,Pantry,Morocco,Retail,4,54.55,0.0,218.2,132.92,85.28
O100121,10096,2025-03-25,Flour 5kg,Baking,Morocco,Online,3,46.57,0.15,118.75,72.89,45.86
O100286,10037,2025-03-25,Tomato Sauce,Canned Goods,Morocco,Supermarket,4,12.27,0.0,49.08,33.42,15.66
O100318,10090,2025-03-26,Honey 500g,Pantry,Morocco,Retail,1,40.21,0.0,40.21,26.07,14.14
O100482,10108,2025-03-28,Olive Oil 1L,Oils,Morocco,Retail,1,32.8,0.0,32.8,21.03,11.77
O100287,10099,2025-03-30,Flour 1kg,Baking,Morocco,Supermarket,1,11.1,0.1,9.99,6.93,3.06
O100160,10007,2025-03-31,Flour 5kg,Baking,Morocco,Retail,1,45.32,0.15,38.52,27.26,11.26
O100328,10009,2025-03-31,Flour 5kg,Baking,Morocco,Supermarket,4,45.38,0.05,172.44,131.04,41.4
O100255,10020,2025-04-01,Couscous 1kg,Grains,Morocco,Retail,2,17.52,0.0,35.04,26.2,8.84
O100334,10013,2025-04-01,Couscous 5kg,Grains,Morocco,Supermarket,4,76.57,0.15,260.34,155.72,104.62
O100347,10112,2025-04-01,Flour 5kg,Baking,Morocco,Online,4,45.94,0.05,174.57,125.85,48.72
O100449,10068,2025-04-01,Couscous 5kg,Grains,Morocco,Online,1,76.48,0.0,76.48,49.0,27.48
O100467,10044,2025-04-03,Tuna 160g,Canned Goods,Spain,Online,1,9.35,0.0,9.35,6.3,3.05
O100050,10037,2025-04-03,Olive Oil 5L,Oils,Morocco,Online,1,141.21,0.15,120.03,76.56,43.47
O100084,10003,2025-04-05,Cheese 500g,Dairy,Morocco,Supermarket,2,44.37,0.1,79.87,54.39,25.48
O100159,10100,2025-04-05,Milk 1L,Dairy,Morocco,Retail,4,8.43,0.1,30.35,18.78,11.57
O100354,10036,2025-04-05,Cheese 500g,Dairy,Morocco,Online,1,45.85,0.0,45.85,34.51,11.34
O100448,10047,2025-04-06,Tuna 160g,Canned Goods,Morocco,Supermarket,2,9.78,0.0,19.56,14.82,4.74
O100166,10008,2025-04-06,Flour 5kg,Baking,Morocco,Retail,1,47.25,0.1,42.52,27.19,15.33
O100177,10096,2025-04-06,Flour 1kg,Baking,Morocco,Retail,2,12.09,0.2,19.34,13.05,6.29
O100141,10098,2025-04-07,Milk 1L,Dairy,Morocco,Supermarket,2,7.98,0.0,15.96,11.49,4.47
O100224,10094,2025-04-07,Couscous 5kg,Grains,Morocco,Online,4,67.73,0.05,257.37,182.68,74.69
O100458,10100,2025-04-09,Couscous 5kg,Grains,Morocco,Supermarket,2,78.37,0.05,148.9,99.12,49.78
O100376,10053,2025-04-09,Tomato Sauce,Canned Goods,Morocco,Online,2,11.12,0.1,20.02,11.98,8.04
O100302,10001,2025-04-10,Milk 1L,Dairy,Morocco,Supermarket,2,7.62,0.0,15.24,10.78,4.46
O100357,10075,2025-04-10,Dates 1kg,Pantry,Morocco,Supermarket,1,53.89,0.0,53.89,35.66,18.23
O100342,10113,2025-04-12,Milk 1L,Dairy,Morocco,Supermarket,3,8.73,0.0,26.19,16.73,9.46
O100010,10023,2025-04-14,Dates 1kg,Pantry,Morocco,Retail,4,52.93,0.0,211.72,157.44,54.28
O100012,10072,2025-04-14,Olive Oil 1L,Oils,Morocco,Retail,2,37.19,0.1,66.94,44.11,22.83
O100332,10086,2025-04-14,Cheese 500g,Dairy,Spain,Supermarket,2,41.09,0.1,73.96,55.65,18.31
O100062,10065,2025-04-14,Couscous 5kg,Grains,Morocco,Retail,3,78.04,0.0,234.12,158.63,75.49
O100367,10029,2025-04-16,Milk 1L,Dairy,Morocco,Supermarket,1,7.4,0.05,7.03,4.96,2.07
O100282,10094,2025-04-18,Flour 5kg,Baking,Belgium,Supermarket,4,45.86,0.0,183.44,137.52,45.92
O100436,10037,2025-04-19,Flour 1kg,Baking,Morocco,Supermarket,2,11.69,0.1,21.04,13.42,7.62
O100417,10022,2025-04-21,Couscous 1kg,Grains,Morocco,Online,4,18.32,0.1,65.95,40.92,25.03
O100360,10051,2025-04-21,Olive Oil 1L,Oils,Morocco,Retail,1,38.47,0.0,38.47,28.04,10.43
O100150,10009,2025-04-22,Milk 1L,Dairy,Spain,Retail,3,8.45,0.0,25.35,18.27,7.08
O100130,10080,2025-04-23,Couscous 1kg,Grains,Morocco,Retail,1,18.34,0.05,17.42,10.32,7.1
O100239,10075,2025-04-23,Couscous 1kg,Grains,Morocco,Retail,2,16.69,0.05,31.71,18.64,13.07
O100468,10026,2025-04-24,Flour 1kg,Baking,France,Retail,2,10.38,0.0,20.76,12.58,8.18
O100392,10009,2025-04-25,Olive Oil 5L,Oils,Morocco,Retail,2,156.74,0.05,297.81,179.97,117.84
O100486,10103,2025-04-25,Tomato Sauce,Canned Goods,Morocco,Online,4,12.76,0.15,43.38,30.25,13.13
O100488,10088,2025-04-25,Cheese 500g,Dairy,Morocco,Supermarket,4,41.5,0.1,149.4,98.55,50.85
O100182,10068,2025-04-26,Dates 1kg,Pantry,Morocco,Online,1,57.09,0.0,57.09,33.78,23.31
O100383,10063,2025-04-27,Tuna 160g,Canned Goods,Morocco,Supermarket,2,9.9,0.05,18.81,11.07,7.74
O100231,10024,2025-04-27,Honey 500g,Pantry,Morocco,Supermarket,2,38.63,0.0,77.26,45.65,31.61
O100075,10025,2025-04-28,Tomato Sauce,Canned Goods,Morocco,Retail,3,12.77,0.0,38.31,28.38,9.93
O100422,10099,2025-04-28,Couscous 5kg,Grains,Morocco,Retail,2,76.87,0.0,153.74,109.79,43.95
O100065,10081,2025-04-28,Couscous 5kg,Grains,Morocco,Retail,2,72.59,0.05,137.92,88.29,49.63
O100259,10088,2025-04-28,Tuna 160g,Canned Goods,Morocco,Retail,3,9.83,0.05,28.02,19.6,8.42
O100319,10077,2025-04-28,Tomato Sauce,Canned Goods,Morocco,Online,3,13.07,0.05,37.25,24.5,12.75
O100453,10093,2025-04-29,Flour 1kg,Baking,Morocco,Retail,1,10.42,0.05,9.9,6.91,2.99
O100404,10017,2025-04-30,Couscous 5kg,Grains,Morocco,Retail,4,75.21,0.05,285.8,165.82,119.98
O100018,10094,2025-05-02,Olive Oil 1L,Oils,Morocco,Supermarket,2,37.12,0.1,66.82,41.89,24.93
O100230,10075,2025-05-04,Olive Oil 5L,Oils,Spain,Supermarket,3,140.54,0.15,358.38,256.15,102.23
O100047,10097,2025-05-04,Flour 1kg,Baking,Belgium,Retail,2,10.61,0.0,21.22,12.92,8.3
O100196,10048,2025-05-05,Honey 500g,Pantry,Morocco,Retail,1,38.21,0.1,34.39,21.71,12.68
O100107,10069,2025-05-06,Tuna 160g,Canned Goods,Belgium,Supermarket,1,9.81,0.0,9.81,7.12,2.69
O100138,10010,2025-05-06,Tuna 160g,Canned Goods,Morocco,Retail,2,8.76,0.0,17.52,10.78,6.74
O100025,10035,2025-05-07,Flour 1kg,Baking,Morocco,Supermarket,1,10.45,0.05,9.93,7.03,2.9
O100162,10031,2025-05-08,Olive Oil 1L,Oils,Spain,Supermarket,2,33.09,0.15,56.25,41.77,14.48
O100158,10104,2025-05-08,Tuna 160g,Canned Goods,Morocco,Retail,4,8.33,0.0,33.32,24.99,8.33
O100438,10073,2025-05-08,Cheese 500g,Dairy,Morocco,Supermarket,5,43.29,0.0,216.45,127.06,89.39
O100005,10061,2025-05-08,Milk 1L,Dairy,Morocco,Retail,4,7.79,0.05,29.6,19.28,10.32
O100309,10096,2025-05-09,Couscous 1kg,Grains,Spain,Supermarket,1,18.8,0.05,17.86,12.09,5.77
O100311,10093,2025-05-09,Honey 500g,Pantry,Morocco,Online,3,40.23,0.2,96.55,64.56,31.99
O100370,10085,2025-05-09,Cheese 500g,Dairy,Morocco,Supermarket,3,44.62,0.05,127.17,77.11,50.06
O100242,10017,2025-05-09,Flour 5kg,Baking,Spain,Supermarket,2,46.62,0.1,83.92,56.17,27.75
O100222,10096,2025-05-09,Flour 5kg,Baking,Belgium,Retail,2,48.73,0.1,87.71,54.92,32.79
O100374,10095,2025-05-10,Couscous 1kg,Grains,Morocco,Supermarket,2,19.47,0.05,36.99,27.57,9.42
O100483,10086,2025-05-11,Couscous 5kg,Grains,Morocco,Supermarket,4,69.36,0.0,277.44,170.11,107.33
O100210,10089,2025-05-12,Cheese 500g,Dairy,Morocco,Supermarket,4,42.96,0.0,171.84,127.51,44.33
O100428,10091,2025-05-14,Tuna 160g,Canned Goods,Morocco,Online,1,8.8,0.15,7.48,5.18,2.3
O100126,10075,2025-05-16,Flour 1kg,Baking,Morocco,Supermarket,2,11.73,0.0,23.46,16.72,6.74
O100275,10057,2025-05-17,Honey 500g,Pantry,Morocco,Online,5,36.14,0.0,180.7,114.37,66.33
O100201,10060,2025-05-18,Olive Oil 1L,Oils,Morocco,Supermarket,2,35.94,0.0,71.88,48.36,23.52
O100034,10016,2025-05-19,Cheese 500g,Dairy,Morocco,Supermarket,2,44.25,0.05,84.08,60.62,23.46
O100093,10097,2025-05-19,Dates 1kg,Pantry,Morocco,Supermarket,2,56.39,0.0,112.78,71.93,40.85
O100232,10070,2025-05-21,Cheese 500g,Dairy,Morocco,Online,1,40.62,0.05,38.59,25.08,13.51
O100215,10075,2025-05-21,Tuna 160g,Canned Goods,Morocco,Retail,2,8.81,0.0,17.62,10.3,7.32
O100097,10018,2025-05-23,Dates 1kg,Pantry,France,Retail,1,56.17,0.1,50.55,31.66,18.89
O100115,10097,2025-05-23,Couscous 1kg,Grains,Spain,Online,1,16.81,0.1,15.13,9.99,5.14
O100055,10007,2025-05-24,Tuna 160g,Canned Goods,Morocco,Online,4,8.8,0.05,33.44,22.17,11.27
O100038,10088,2025-05-24,Tomato Sauce,Canned Goods,Belgium,Supermarket,1,11.39,0.05,10.82,6.94,3.88
O100477,10077,2025-05-25,Olive Oil 1L,Oils,Morocco,Supermarket,2,33.02,0.05,62.74,39.48,23.26
O100051,10065,2025-05-27,Dates 1kg,Pantry,Morocco,Online,2,52.45,0.2,83.92,61.03,22.89
O100139,10074,2025-05-28,Flour 5kg,Baking,France,Supermarket,4,51.09,0.0,204.36,124.98,79.38
O100261,10112,2025-05-28,Tuna 160g,Canned Goods,Morocco,Retail,2,9.23,0.05,17.54,12.45,5.09
O100007,10020,2025-05-29,Flour 5kg,Baking,Morocco,Supermarket,1,50.15,0.2,40.12,28.33,11.79
O100465,10077,2025-05-31,Cheese 500g,Dairy,Morocco,Retail,1,45.84,0.0,45.84,30.04,15.8
O100145,10022,2025-05-31,Olive Oil 5L,Oils,Morocco,Supermarket,2,162.93,0.0,325.86,231.81,94.05
O100320,10100,2025-06-01,Dates 1kg,Pantry,Morocco,Supermarket,2,53.75,0.0,107.5,70.38,37.12
O100454,10100,2025-06-01,Cheese 500g,Dairy,Morocco,Supermarket,2,38.76,0.0,77.52,49.32,28.2
O100256,10112,2025-06-02,Tuna 160g,Canned Goods,Morocco,Supermarket,2,9.07,0.0,18.14,11.29,6.85
O100017,10060,2025-06-02,Couscous 1kg,Grains,Morocco,Online,1,16.92,0.1,15.23,8.84,6.39
O100104,10037,2025-06-02,Olive Oil 5L,Oils,Morocco,Retail,1,159.46,0.1,143.51,90.58,52.93
O100381,10106,2025-06-03,Olive Oil 5L,Oils,Morocco,Online,1,149.7,0.0,149.7,106.24,43.46
O100435,10031,2025-06-03,Couscous 5kg,Grains,Morocco,Online,1,67.91,0.0,67.91,46.43,21.48
O100072,10018,2025-06-04,Olive Oil 5L,Oils,Belgium,Retail,2,151.52,0.05,287.89,200.8,87.09
O100221,10114,2025-06-05,Dates 1kg,Pantry,Morocco,Supermarket,2,55.57,0.0,111.14,69.61,41.53
O100415,10028,2025-06-07,Dates 1kg,Pantry,Morocco,Supermarket,1,52.12,0.1,46.91,31.3,15.61
O100241,10017,2025-06-07,Milk 1L,Dairy,Morocco,Supermarket,2,8.65,0.2,13.84,8.22,5.62
O100314,10006,2025-06-08,Couscous 5kg,Grains,Belgium,Retail,4,69.97,0.05,265.89,156.8,109.09
O100199,10113,2025-06-10,Couscous 1kg,Grains,Morocco,Supermarket,2,18.25,0.0,36.5,21.38,15.12
O100187,10077,2025-06-10,Couscous 5kg,Grains,Morocco,Supermarket,3,74.15,0.1,200.21,145.33,54.88
O100133,10033,2025-06-10,Olive Oil 1L,Oils,Spain,Online,2,34.53,0.0,69.06,49.54,19.52
O100151,10025,2025-06-11,Dates 1kg,Pantry,Morocco,Supermarket,4,55.82,0.05,212.12,154.36,57.76
O100220,10018,2025-06-13,Cheese 500g,Dairy,Morocco,Retail,2,41.61,0.0,83.22,61.44,21.78
O100293,10108,2025-06-13,Milk 1L,Dairy,Morocco,Retail,2,8.04,0.05,15.28,10.24,5.04
O100057,10119,2025-06-14,Dates 1kg,Pantry,Morocco,Supermarket,4,58.02,0.2,185.66,125.44,60.22
O100009,10073,2025-06-15,Couscous 5kg,Grains,Morocco,Online,3,70.69,0.0,212.07,159.62,52.45
O100067,10014,2025-06-16,Cheese 500g,Dairy,Morocco,Supermarket,1,43.51,0.0,43.51,27.25,16.26
O100394,10043,2025-06-16,Milk 1L,Dairy,Morocco,Supermarket,5,7.77,0.1,34.96,26.08,8.88
O100316,10018,2025-06-18,Milk 1L,Dairy,Morocco,Supermarket,4,8.34,0.05,31.69,22.09,9.6
O100250,10092,2025-06-18,Couscous 5kg,Grains,Morocco,Retail,2,70.2,0.0,140.4,90.66,49.74
O100270,10077,2025-06-18,Honey 500g,Pantry,France,Supermarket,2,35.78,0.0,71.56,44.5,27.06
O100135,10090,2025-06-18,Tomato Sauce,Canned Goods,Morocco,Online,1,11.07,0.0,11.07,7.41,3.66
O100288,10016,2025-06-19,Couscous 1kg,Grains,Morocco,Online,1,19.23,0.0,19.23,13.63,5.6
O100040,10016,2025-06-20,Olive Oil 1L,Oils,Morocco,Online,2,32.48,0.0,64.96,48.89,16.07
O100146,10037,2025-06-20,Tomato Sauce,Canned Goods,France,Retail,1,11.44,0.0,11.44,7.23,4.21
