Date,Order_ID,Product,Category,Region,Sales_Channel,Units_Sold,Unit_Price_MAD,Unit_Cost_MAD,Promotion,Revenue_MAD,Cost_MAD,Profit_MAD
2025-06-13 00:00:00,ORD-10015,Apple Juice 1L,Beverages,Casablanca,Supermarket,113,16.56,10.39,No,1871.28,1173.54,697.79
2025-01-08 00:00:00,ORD-10016,Canned Peas 400g,Canned Goods,Fes,Retail,95,12.14,6.84,No,1153.3,649.54,504.12
2025-10-04 00:00:00,ORD-10017,Milk Powder 500g,Dairy,Rabat,Retail,104,34.41,25.57,Yes,3578.64,2659.78,919.09
2025-04-20 00:00:00,ORD-10018,Apple Juice 1L,Beverages,Marrakech,Supermarket,126,16.37,10.33,Yes,2062.62,1301.1,761.68
2025-01-24 00:00:00,ORD-10019,Olive Oil 1L,Oils,Casablanca,Retail,106,81.83,57.5,No,8673.98,6094.87,2578.7
2025-12-15 00:00:00,ORD-10020,Pasta 500g,Grains,Marrakech,Retail,85,13.41,7.85,No,1139.85,667.23,472.79
2025-04-21 00:00:00,ORD-10021,UHT Milk 1L,Dairy,Rabat,Wholesale,176,11.24,6.85,No,1978.24,1205.66,771.95
2025-08-13 00:00:00,ORD-10022,Apple Juice 1L,Beverages,Casablanca,Supermarket,70,17.45,10.35,No,1221.5,724.26,497.13
2025-12-18 00:00:00,ORD-10023,Pasta 500g,Grains,Agadir,Supermarket,85,12.24,7.79,Yes,1040.4,662.04,378.44
2025-04-20 00:00:00,ORD-10024,Milk Powder 500g,Dairy,Agadir,Online,116,39.2,26.3,No,4547.2,3050.71,1496.03
2025-06-21 00:00:00,ORD-10025,Pasta 500g,Grains,Fes,Wholesale,226,12.14,8.36,Yes,2743.64,1889.26,854.32
2025-12-12 00:00:00,ORD-10026,Couscous 1kg,Grains,Rabat,Wholesale,142,23.04,14.79,Yes,3271.68,2099.57,1172.27
2025-04-13 00:00:00,ORD-10027,Pasta 500g,Grains,Fes,Online,79,11.42,7.84,Yes,902.18,619.7,282.25
2025-01-07 00:00:00,ORD-10028,Canned Tomatoes 400g,Canned Goods,Rabat,Retail,71,8.78,5.17,No,623.38,367.19,256.47
2025-01-10 00:00:00,ORD-10029,Canned Peas 400g,Canned Goods,Fes,Supermarket,81,11.99,7.16,No,971.19,580.06,391.05
2025-04-25 00:00:00,ORD-10030,Apple Juice 1L,Beverages,Casablanca,Online,74,17.18,9.78,No,1271.32,724.07,547.41
2025-09-22 00:00:00,ORD-10031,Olive Oil 500ml,Oils,Casablanca,Online,99,48.14,33.24,No,4765.86,3291.14,1475.15
2025-08-20 00:00:00,ORD-10032,Canned Peas 400g,Canned Goods,Rabat,Supermarket,70,11.74,7.09,No,821.8,496.11,325.93
2025-10-07 00:00:00,ORD-10033,Canned Tomatoes 400g,Canned Goods,Agadir,Retail,70,8.95,5.11,No,626.5,357.75,268.51
2025-12-18 00:00:00,ORD-10034,Orange Juice 1L,Beverages,Casablanca,Supermarket,55,18.46,10.76,No,1015.3,591.95,423.13
2025-11-18 00:00:00,ORD-10035,Olive Oil 1L,Oils,Marrakech,Supermarket,128,79.66,60.53,No,10196.48,7748.26,2448.7
2025-08-07 00:00:00,ORD-10036,Olive Oil 500ml,Oils,Casablanca,Supermarket,53,41.27,32.15,Yes,2187.31,1704,483.33
2025-06-06 00:00:00,ORD-10037,UHT Milk 1L,Dairy,Fes,Retail,111,11.33,7.27,No,1257.63,806.6,451.03
2025-07-15 00:00:00,ORD-10038,Olive Oil 1L,Oils,Rabat,Supermarket,153,81.45,56.49,No,12461.85,8642.75,3819.21
2025-01-03 00:00:00,ORD-10039,Pasta 500g,Grains,Marrakech,Supermarket,128,12.18,8.3,Yes,1559.04,1062.39,496.35
2025-10-20 00:00:00,ORD-10040,Apple Juice 1L,Beverages,Agadir,Wholesale,153,17.38,9.81,No,2659.14,1500.57,1158.48
2025-10-29 00:00:00,ORD-10041,UHT Milk 1L,Dairy,Marrakech,Online,15,11.12,6.94,No,166.8,104.09,62.75
2025-01-23 00:00:00,ORD-10042,Olive Oil 500ml,Oils,Casablanca,Retail,143,46.5,32.87,No,6649.5,4701.07,1948.1
2025-06-08 00:00:00,ORD-10043,Pasta 500g,Grains,Fes,Supermarket,139,12.98,7.97,No,1804.22,1107.85,696.39
2025-06-18 00:00:00,ORD-10044,UHT Milk 1L,Dairy,Fes,Wholesale,212,11.12,6.95,No,2357.44,1473.69,883.11
2025-03-06 00:00:00,ORD-10045,Canned Peas 400g,Canned Goods,Casablanca,Wholesale,166,11.61,7.2,No,1927.26,1194.6,732.87
2025-07-31 00:00:00,ORD-10046,Olive Oil 1L,Oils,Agadir,Supermarket,62,82.61,59.89,No,5121.82,3713.27,1408.84
2025-12-30 00:00:00,ORD-10047,Canned Peas 400g,Canned Goods,Agadir,Supermarket,57,11.02,7.11,Yes,628.14,405.06,223.35
2025-01-03 00:00:00,ORD-10048,UHT Milk 1L,Dairy,Casablanca,Retail,97,10.99,7.13,No,1066.03,691.2,375.13
2025-02-20 00:00:00,ORD-10049,Apple Juice 1L,Beverages,Rabat,Supermarket,144,16.89,10.32,No,2432.16,1486,946.06
2025-03-18 00:00:00,ORD-10050,Canned Tomatoes 400g,Canned Goods,Casablanca,Online,84,8.18,4.91,Yes,687.12,412.7,274.42
2025-12-17 00:00:00,ORD-10051,Olive Oil 500ml,Oils,Agadir,Retail,86,47.2,34.48,No,4059.2,2965.4,1093.73
2025-05-12 00:00:00,ORD-10052,Canned Peas 400g,Canned Goods,Casablanca,Retail,145,12.43,6.86,No,1802.35,994.17,808.64
2025-04-09 00:00:00,ORD-10053,Orange Juice 1L,Beverages,Marrakech,Supermarket,156,17.3,11.07,No,2698.8,1726.89,971.55
2025-09-21 00:00:00,ORD-10054,Orange Juice 1L,Beverages,Casablanca,Retail,65,18.6,11.36,No,1209,738.24,470.93
2025-07-18 00:00:00,ORD-10055,Olive Oil 500ml,Oils,Agadir,Online,60,45.52,34.65,No,2731.2,2078.86,652.35
2025-01-09 00:00:00,ORD-10056,Canned Tomatoes 400g,Canned Goods,Marrakech,Supermarket,101,8.01,5.16,Yes,809.01,521.23,287.54
2025-10-23 00:00:00,ORD-10057,Olive Oil 500ml,Oils,Agadir,Wholesale,130,42.43,34.13,Yes,5515.9,4436.37,1079.56
2025-12-18 00:00:00,ORD-10058,Couscous 1kg,Grains,Fes,Supermarket,109,24.52,15.39,No,2672.68,1677.26,995.68
2025-10-27 00:00:00,ORD-10059,Orange Juice 1L,Beverages,Rabat,Supermarket,116,18.51,10.81,No,2147.16,1253.56,893.09
2025-10-24 00:00:00,ORD-10060,Canned Peas 400g,Canned Goods,Rabat,Supermarket,103,12.11,6.82,No,1247.33,702.51,544.52
2025-01-26 00:00:00,ORD-10061,Canned Tomatoes 400g,Canned Goods,Rabat,Online,32,7.93,5.24,Yes,253.76,167.74,86.06
2025-08-05 00:00:00,ORD-10062,Milk Powder 500g,Dairy,Fes,Retail,97,36.13,26.42,Yes,3504.61,2562.96,941.83
2025-07-16 00:00:00,ORD-10063,Canned Tomatoes 400g,Canned Goods,Marrakech,Online,78,8.93,5.04,No,696.54,393.09,303.52
2025-02-17 00:00:00,ORD-10064,Olive Oil 500ml,Oils,Rabat,Supermarket,132,47.42,33.69,No,6259.44,4446.48,1812.61
2025-12-21 00:00:00,ORD-10065,Milk Powder 500g,Dairy,Casablanca,Supermarket,34,36.59,26.09,No,1244.06,887.07,356.98
2025-06-24 00:00:00,ORD-10066,Milk Powder 500g,Dairy,Casablanca,Retail,111,38.45,26.58,No,4267.95,2950.05,1317.87
2025-08-14 00:00:00,ORD-10067,Pasta 500g,Grains,Fes,Retail,59,12.86,8.09,No,758.74,477.2,281.25
2025-10-23 00:00:00,ORD-10068,Canned Peas 400g,Canned Goods,Agadir,Online,61,12.29,6.97,No,749.69,424.93,324.63
2025-07-09 00:00:00,ORD-10069,Orange Juice 1L,Beverages,Casablanca,Supermarket,113,17.36,10.92,No,1961.68,1233.61,728.07
2025-07-26 00:00:00,ORD-10070,Pasta 500g,Grains,Rabat,Supermarket,43,12.69,8,Yes,545.67,343.92,201.82
2025-09-16 00:00:00,ORD-10071,Olive Oil 500ml,Oils,Marrakech,Supermarket,10,48.86,34.05,No,488.6,340.48,148.15
2025-06-04 00:00:00,ORD-10072,Pasta 500g,Grains,Fes,Wholesale,154,12.49,7.89,No,1923.46,1215.64,707.99
2025-10-04 00:00:00,ORD-10073,UHT Milk 1L,Dairy,Rabat,Supermarket,105,11.05,7.26,No,1160.25,762.29,397.88
2025-10-20 00:00:00,ORD-10074,Apple Juice 1L,Beverages,Rabat,Retail,72,16.06,10.08,Yes,1156.32,725.43,431.18
2025-12-02 00:00:00,ORD-10075,Olive Oil 500ml,Oils,Rabat,Online,75,42.96,33.56,Yes,3222,2516.87,704.81
2025-09-21 00:00:00,ORD-10076,Milk Powder 500g,Dairy,Rabat,Supermarket,64,38.45,26.61,No,2460.8,1703.3,757.72
2025-10-17 00:00:00,ORD-10077,Canned Peas 400g,Canned Goods,Rabat,Retail,101,12.33,7.06,No,1245.33,713.08,532.32
2025-07-13 00:00:00,ORD-10078,Canned Peas 400g,Canned Goods,Agadir,Retail,86,12.34,6.98,No,1061.24,600.34,460.58
2025-08-01 00:00:00,ORD-10079,Milk Powder 500g,Dairy,Marrakech,Supermarket,87,38.4,25.59,No,3340.8,2226.26,1114.34
2025-01-04 00:00:00,ORD-10080,Pasta 500g,Grains,Rabat,Supermarket,76,12.8,8.14,No,972.8,618.87,353.92
2025-07-26 00:00:00,ORD-10081,Olive Oil 1L,Oils,Casablanca,Wholesale,170,82.79,58.48,No,14074.3,9940.86,4133.37
2025-12-26 00:00:00,ORD-10082,Canned Peas 400g,Canned Goods,Agadir,Wholesale,98,12.35,6.85,No,1210.3,671.68,538.83
2025-07-05 00:00:00,ORD-10083,Canned Peas 400g,Canned Goods,Casablanca,Retail,101,12.47,6.95,No,1259.47,702.09,556.89
2025-10-27 00:00:00,ORD-10084,Canned Peas 400g,Canned Goods,Fes,Supermarket,42,11.4,7.34,Yes,478.8,308.36,170.44
2025-11-10 00:00:00,ORD-10085,Milk Powder 500g,Dairy,Agadir,Retail,70,36.19,27.14,Yes,2533.3,1900.04,633.16
2025-06-12 00:00:00,ORD-10086,Orange Juice 1L,Beverages,Rabat,Retail,116,17.21,11.35,Yes,1996.36,1316.7,679.46
2025-01-03 00:00:00,ORD-10087,Orange Juice 1L,Beverages,Fes,Wholesale,171,17.29,10.67,Yes,2956.59,1825.25,1131.99
2025-12-14 00:00:00,ORD-10088,UHT Milk 1L,Dairy,Marrakech,Supermarket,75,11.15,6.92,No,836.25,519.23,317.09
2025-06-01 00:00:00,ORD-10089,Orange Juice 1L,Beverages,Casablanca,Online,66,17.85,10.91,No,1178.1,720.18,458.02
2025-07-20 00:00:00,ORD-10090,Orange Juice 1L,Beverages,Rabat,Supermarket,109,18.44,11.55,No,2009.96,1258.83,751.43
2025-08-21 00:00:00,ORD-10091,Couscous 1kg,Grains,Casablanca,Supermarket,105,24.39,15.26,No,2560.95,1602.75,957.75
2025-01-23 00:00:00,ORD-10092,Pasta 500g,Grains,Agadir,Retail,90,12.55,7.89,No,1129.5,710.03,419.45
2025-07-22 00:00:00,ORD-10093,Olive Oil 1L,Oils,Casablanca,Retail,128,85.01,59.75,No,10881.28,7647.89,3233.7
2025-07-03 00:00:00,ORD-10094,UHT Milk 1L,Dairy,Casablanca,Online,35,11.36,7.09,No,397.6,248.03,149.57
2025-12-26 00:00:00,ORD-10095,Canned Peas 400g,Canned Goods,Marrakech,Wholesale,119,10.76,7.28,Yes,1280.44,866.27,413.8
2025-01-01 00:00:00,ORD-10096,Couscous 1kg,Grains,Marrakech,Wholesale,153,23.95,15.74,No,3664.35,2408.78,1256.25
2025-08-03 00:00:00,ORD-10097,Canned Tomatoes 400g,Canned Goods,Fes,Online,57,8.2,5.11,Yes,467.4,291.34,175.81
2025-04-27 00:00:00,ORD-10098,Apple Juice 1L,Beverages,Marrakech,Retail,136,16.46,9.73,No,2238.56,1323.67,914.9
2025-01-19 00:00:00,ORD-10099,Couscous 1kg,Grains,Rabat,Retail,89,23.14,14.68,No,2059.46,1306.87,752.4
2025-08-20 00:00:00,ORD-10100,Pasta 500g,Grains,Rabat,Wholesale,110,12.89,8.03,No,1417.9,882.93,534.96
2025-02-25 00:00:00,ORD-10101,Olive Oil 1L,Oils,Rabat,Online,75,81.93,57.81,No,6144.75,4335.42,1809.42
2025-05-30 00:00:00,ORD-10102,Milk Powder 500g,Dairy,Fes,Wholesale,171,37.22,26.22,No,6364.62,4483.3,1880.83
2025-11-12 00:00:00,ORD-10103,Canned Tomatoes 400g,Canned Goods,Casablanca,Supermarket,104,8.46,4.91,Yes,879.84,510.66,368.93
2025-08-09 00:00:00,ORD-10104,Olive Oil 1L,Oils,Rabat,Online,69,71.56,59.14,Yes,4937.64,4080.49,856.92
2025-06-23 00:00:00,ORD-10105,Couscous 1kg,Grains,Marrakech,Retail,45,23.13,14.75,Yes,1040.85,663.54,377.19
2025-11-24 00:00:00,ORD-10106,Canned Peas 400g,Canned Goods,Agadir,Supermarket,77,12.1,7.34,No,931.7,565.29,366.36
2025-01-29 00:00:00,ORD-10107,Pasta 500g,Grains,Fes,Supermarket,112,12.71,8.02,No,1423.52,898.8,524.16
2025-08-21 00:00:00,ORD-10108,Pasta 500g,Grains,Rabat,Supermarket,42,11.94,8.21,Yes,501.48,344.95,156.42
2025-04-21 00:00:00,ORD-10109,Canned Peas 400g,Canned Goods,Casablanca,Online,111,10.98,6.89,Yes,1218.78,764.44,454
2025-10-17 00:00:00,ORD-10110,UHT Milk 1L,Dairy,Agadir,Supermarket,81,11.07,6.86,No,896.67,555.75,341.29
2025-07-29 00:00:00,ORD-10111,Orange Juice 1L,Beverages,Agadir,Retail,64,16.24,10.93,Yes,1039.36,699.48,339.66
2025-05-06 00:00:00,ORD-10112,Canned Tomatoes 400g,Canned Goods,Fes,Supermarket,135,8.48,5.09,Yes,1144.8,687.73,457.52
2025-03-09 00:00:00,ORD-10113,UHT Milk 1L,Dairy,Casablanca,Wholesale,244,11.23,7.34,No,2740.12,1791.13,948.35
2025-02-24 00:00:00,ORD-10114,Milk Powder 500g,Dairy,Marrakech,Supermarket,83,37.72,25.42,No,3130.76,2109.5,1021.28
2025-10-09 00:00:00,ORD-10115,Orange Juice 1L,Beverages,Casablanca,Wholesale,153,17.54,10.85,No,2683.62,1659.38,1023.78
2025-12-02 00:00:00,ORD-10116,Orange Juice 1L,Beverages,Agadir,Supermarket,33,18.54,11,No,611.82,363.12,248.86
2025-05-31 00:00:00,ORD-10117,UHT Milk 1L,Dairy,Fes,Wholesale,198,10.65,7.3,No,2108.7,1444.65,664.46
2025-09-13 00:00:00,ORD-10118,Orange Juice 1L,Beverages,Fes,Supermarket,120,17.31,11.53,No,2077.2,1383.81,693.79
2025-12-27 00:00:00,ORD-10119,Pasta 500g,Grains,Fes,Online,69,13.11,8.13,No,904.59,561.1,343.71
2025-05-21 00:00:00,ORD-10120,Milk Powder 500g,Dairy,Marrakech,Online,66,34.75,25.49,Yes,2293.5,1682.52,611.23
2025-05-02 00:00:00,ORD-10121,Olive Oil 500ml,Oils,Fes,Supermarket,125,43,34.34,Yes,5375,4291.99,1082.94
2025-05-06 00:00:00,ORD-10122,Couscous 1kg,Grains,Casablanca,Supermarket,92,23.54,14.6,No,2165.68,1343.59,821.92
2025-01-04 00:00:00,ORD-10123,Milk Powder 500g,Dairy,Agadir,Wholesale,71,34.18,26.81,Yes,2426.78,1903.57,523.32
2025-04-21 00:00:00,ORD-10124,Orange Juice 1L,Beverages,Agadir,Online,53,17.38,10.79,No,921.14,571.94,349.38
2025-12-10 00:00:00,ORD-10125,Pasta 500g,Grains,Marrakech,Supermarket,44,13.04,7.87,No,573.76,346.1,227.84
2025-01-30 00:00:00,ORD-10126,Couscous 1kg,Grains,Rabat,Online,57,23.61,15,No,1345.77,854.74,490.93
2025-11-01 00:00:00,ORD-10127,Milk Powder 500g,Dairy,Fes,Wholesale,210,36.85,27.08,No,7738.5,5687.63,2050.2
2025-09-23 00:00:00,ORD-10128,Olive Oil 500ml,Oils,Casablanca,Wholesale,112,46.81,32.66,No,5242.72,3657.64,1585.25
2025-11-17 00:00:00,ORD-10129,Canned Peas 400g,Canned Goods,Agadir,Online,45,11.76,6.93,No,529.2,311.72,217.41
2025-04-19 00:00:00,ORD-10130,Olive Oil 500ml,Oils,Agadir,Online,66,46.96,33.41,No,3099.36,2204.96,894.71
2025-05-24 00:00:00,ORD-10131,UHT Milk 1L,Dairy,Casablanca,Supermarket,105,10.98,7.32,No,1152.9,769,384.34
2025-02-23 00:00:00,ORD-10132,Olive Oil 500ml,Oils,Marrakech,Supermarket,98,43.52,32.86,Yes,4264.96,3220.17,1044.52
2025-12-01 00:00:00,ORD-10133,Canned Tomatoes 400g,Canned Goods,Casablanca,Retail,79,8.88,5.15,Yes,701.52,406.59,294.6
2025-05-16 00:00:00,ORD-10134,Milk Powder 500g,Dairy,Rabat,Online,51,35.56,26.52,Yes,1813.56,1352.28,461.15
2025-01-20 00:00:00,ORD-10135,Canned Peas 400g,Canned Goods,Fes,Supermarket,98,12.13,6.79,No,1188.74,665.55,523.53
2025-07-21 00:00:00,ORD-10136,Apple Juice 1L,Beverages,Casablanca,Supermarket,120,15.5,10.01,Yes,1860,1201.72,658.45
2025-02-25 00:00:00,ORD-10137,Apple Juice 1L,Beverages,Casablanca,Wholesale,226,17.14,10.08,No,3873.64,2277.68,1594.96
2025-08-13 00:00:00,ORD-10138,Apple Juice 1L,Beverages,Casablanca,Supermarket,108,16.37,10.06,No,1767.96,1086.45,682.02
2025-04-16 00:00:00,ORD-10139,Orange Juice 1L,Beverages,Fes,Online,72,17.72,11.5,No,1275.84,828.28,447.25
2025-09-18 00:00:00,ORD-10140,Pasta 500g,Grains,Fes,Retail,93,13.01,8.34,No,1209.93,775.67,434.19
2025-05-01 00:00:00,ORD-10141,Milk Powder 500g,Dairy,Marrakech,Supermarket,92,36.86,25.41,No,3391.12,2337.79,1053.55
2025-04-29 00:00:00,ORD-10142,Canned Tomatoes 400g,Canned Goods,Marrakech,Wholesale,200,8.78,5.16,No,1756,1032.25,724.23
2025-12-10 00:00:00,ORD-10143,Orange Juice 1L,Beverages,Casablanca,Wholesale,153,16.03,11.26,Yes,2452.59,1723.36,729.09
2025-11-30 00:00:00,ORD-10144,Apple Juice 1L,Beverages,Casablanca,Retail,32,17.15,9.9,No,548.8,316.93,231.86
2025-04-23 00:00:00,ORD-10145,Canned Tomatoes 400g,Canned Goods,Casablanca,Online,84,8.66,5.01,No,727.44,420.84,306.32
2025-09-13 00:00:00,ORD-10146,Orange Juice 1L,Beverages,Marrakech,Retail,105,17.74,11.15,No,1862.7,1170.67,692.45
2025-09-15 00:00:00,ORD-10147,Milk Powder 500g,Dairy,Marrakech,Supermarket,63,39.29,26.97,No,2475.27,1699.37,775.81
2025-12-08 00:00:00,ORD-10148,Apple Juice 1L,Beverages,Fes,Wholesale,156,16.94,9.89,No,2642.64,1543.18,1099.58
2025-08-10 00:00:00,ORD-10149,Canned Tomatoes 400g,Canned Goods,Casablanca,Supermarket,101,8.8,5.18,No,888.8,522.82,365.74
2025-04-17 00:00:00,ORD-10150,Orange Juice 1L,Beverages,Rabat,Supermarket,72,18.49,10.79,No,1331.28,777,554.16
2025-09-13 00:00:00,ORD-10151,Canned Peas 400g,Canned Goods,Rabat,Retail,45,10.8,7.14,Yes,486,321.17,164.7
2025-11-17 00:00:00,ORD-10152,Apple Juice 1L,Beverages,Agadir,Supermarket,81,16.69,10.41,No,1351.89,843.04,508.69
2025-03-23 00:00:00,ORD-10153,Canned Tomatoes 400g,Canned Goods,Rabat,Wholesale,212,9.04,5.05,No,1916.48,1070.66,845.3
2025-04-18 00:00:00,ORD-10154,Canned Tomatoes 400g,Canned Goods,Marrakech,Online,108,8.78,4.98,Yes,948.24,537.55,411.19
2025-04-19 00:00:00,ORD-10155,Milk Powder 500g,Dairy,Casablanca,Supermarket,122,38.87,26.95,No,4742.14,3288,1454.62
2025-11-27 00:00:00,ORD-10156,Orange Juice 1L,Beverages,Casablanca,Supermarket,122,17.99,11.46,No,2194.78,1397.62,796.85
2025-04-08 00:00:00,ORD-10157,Olive Oil 500ml,Oils,Agadir,Supermarket,95,45.37,32.15,No,4310.15,3054.19,1256.32
2025-03-24 00:00:00,ORD-10158,Olive Oil 1L,Oils,Casablanca,Wholesale,168,84.12,57.04,No,14132.16,9582.64,4549.47
2025-01-10 00:00:00,ORD-10159,Olive Oil 500ml,Oils,Agadir,Wholesale,147,45.47,33.05,No,6684.09,4858.56,1825.35
2025-07-19 00:00:00,ORD-10160,Canned Peas 400g,Canned Goods,Casablanca,Wholesale,156,11.97,7,No,1867.32,1091.38,775.33
2025-05-31 00:00:00,ORD-10161,Couscous 1kg,Grains,Casablanca,Wholesale,214,21.29,15.54,Yes,4556.06,3325.07,1230.26
2025-01-23 00:00:00,ORD-10162,Pasta 500g,Grains,Agadir,Supermarket,79,12.89,8.32,No,1018.31,657.28,360.92
2025-12-14 00:00:00,ORD-10163,Apple Juice 1L,Beverages,Agadir,Supermarket,58,16.71,10.29,No,969.18,596.69,372.67
2025-01-03 00:00:00,ORD-10164,UHT Milk 1L,Dairy,Marrakech,Wholesale,246,9.93,7.06,Yes,2442.78,1737.32,704.45
2025-08-15 00:00:00,ORD-10165,Couscous 1kg,Grains,Casablanca,Wholesale,79,23.78,14.87,No,1878.62,1175.11,703.5
2025-02-18 00:00:00,ORD-10166,UHT Milk 1L,Dairy,Casablanca,Retail,76,9.64,7.29,Yes,732.64,554.11,178.48
2025-10-10 00:00:00,ORD-10167,Canned Tomatoes 400g,Canned Goods,Rabat,Online,90,9.31,4.87,No,837.9,438.64,399.58
2025-05-05 00:00:00,ORD-10168,Couscous 1kg,Grains,Marrakech,Supermarket,76,21.2,15.06,Yes,1611.2,1144.35,466.53
2025-07-10 00:00:00,ORD-10169,Olive Oil 500ml,Oils,Rabat,Online,57,45.33,32.95,No,2583.81,1878.35,705.34
2025-05-05 00:00:00,ORD-10170,Couscous 1kg,Grains,Marrakech,Supermarket,99,23.23,14.68,No,2299.77,1453.21,846.73
2025-01-19 00:00:00,ORD-10171,Olive Oil 500ml,Oils,Marrakech,Supermarket,132,48.2,33.4,No,6362.4,4408.64,1954.09
2025-02-22 00:00:00,ORD-10172,Apple Juice 1L,Beverages,Rabat,Retail,122,17.1,10.34,No,2086.2,1262.08,824.67
2025-12-04 00:00:00,ORD-10173,Olive Oil 500ml,Oils,Agadir,Retail,91,47.32,32.35,No,4306.12,2943.67,1362.33
2025-08-27 00:00:00,ORD-10174,Pasta 500g,Grains,Rabat,Supermarket,122,12.85,8.02,No,1567.7,978.63,589.44
2025-06-10 00:00:00,ORD-10175,Milk Powder 500g,Dairy,Marrakech,Online,35,37.48,26.16,No,1311.8,915.54,396.3
2025-12-20 00:00:00,ORD-10176,UHT Milk 1L,Dairy,Casablanca,Wholesale,119,10.86,7,No,1292.34,833.24,459.61
2025-07-14 00:00:00,ORD-10177,Olive Oil 1L,Oils,Rabat,Wholesale,164,77.91,57.45,Yes,12777.24,9422.53,3354.04
2025-07-12 00:00:00,ORD-10178,Orange Juice 1L,Beverages,Agadir,Retail,111,17.22,11.48,Yes,1911.42,1274.62,636.4
2025-12-03 00:00:00,ORD-10179,UHT Milk 1L,Dairy,Rabat,Supermarket,131,10.58,7.21,No,1385.98,944.03,442.39
2025-02-25 00:00:00,ORD-10180,Orange Juice 1L,Beverages,Casablanca,Retail,102,17.76,11.44,No,1811.52,1167.22,643.92
2025-12-27 00:00:00,ORD-10181,Pasta 500g,Grains,Marrakech,Supermarket,77,13,8.1,No,1001,623.96,376.77
2025-03-29 00:00:00,ORD-10182,Apple Juice 1L,Beverages,Agadir,Online,51,17.51,10,No,893.01,509.98,383.25
2025-02-12 00:00:00,ORD-10183,Olive Oil 500ml,Oils,Fes,Retail,93,47.4,33.13,No,4408.2,3081.27,1327.22
2025-12-08 00:00:00,ORD-10184,Pasta 500g,Grains,Casablanca,Supermarket,110,12.78,7.95,No,1405.8,874.99,530.35
2025-09-24 00:00:00,ORD-10185,Orange Juice 1L,Beverages,Rabat,Retail,47,17.52,11.26,No,823.44,529.13,294.09
2025-02-11 00:00:00,ORD-10186,Pasta 500g,Grains,Marrakech,Supermarket,129,12.7,7.85,No,1638.3,1012.57,626.11
2025-07-29 00:00:00,ORD-10187,Olive Oil 500ml,Oils,Casablanca,Supermarket,119,48.16,34.58,No,5731.04,4115.31,1615.93
2025-03-31 00:00:00,ORD-10188,Olive Oil 1L,Oils,Marrakech,Online,73,81.55,56.43,No,5953.15,4119.14,1833.85
2025-03-16 00:00:00,ORD-10189,UHT Milk 1L,Dairy,Agadir,Online,85,10.83,7.3,No,920.55,620.13,300.04
2025-05-22 00:00:00,ORD-10190,Olive Oil 1L,Oils,Agadir,Wholesale,195,79.74,58.74,No,15549.3,11454.68,4094.97
2025-01-26 00:00:00,ORD-10191,Apple Juice 1L,Beverages,Marrakech,Retail,84,16.2,9.85,Yes,1360.8,827.53,533.48
2025-07-07 00:00:00,ORD-10192,Couscous 1kg,Grains,Agadir,Supermarket,129,24.63,15.72,No,3177.27,2028.02,1149.72
2025-08-14 00:00:00,ORD-10193,Orange Juice 1L,Beverages,Agadir,Supermarket,98,18.06,11.46,No,1769.88,1123.18,646.96
