Date,Product,Batch,Production_Qty,Defects,Humidity_pct,Fat_pct,Viscosity,Fineness_um,Production_Time_h,Operator,Machine
2024-01-30,Noir Light,B10036,980,14,0.32,38.3,6399.0,19.7,7.7,OP02,M01
2024-01-31,Noir Light,B10037,909,10,0.33,34.6,6239.0,19.7,7.02,OP02,M02
2024-02-01,Noir Light,B10038,1473,15,0.6,40.1,7160.0,17.1,7.46,OP01,M01
2024-02-02,Noir Corsé,B10039,1137,24,0.4,41.6,6214.0,19.9,6.9,OP05,M03
2024-02-03,Noir Extrême,B10040,1151,29,0.58,36.5,6614.0,17.5,7.36,OP04,M03
2024-02-04,Lait Suprême,B10041,800,13,1.03,37.6,7128.0,18.9,6.8,OP04,M01
2024-02-04,Noir Corsé,B10042,1436,19,1.06,38.1,6360.0,17.2,7.11,OP03,M01
2024-02-05,Noir Corsé,B10043,1365,18,0.68,41.2,6813.0,19.6,7.42,OP03,M03
2024-02-06,Lait Suprême,B10044,799,10,0.49,39.0,6728.0,17.3,7.16,OP05,M02
2024-02-07,Noir Light,B10045,972,15,0.56,37.3,6743.0,16.4,7.93,OP04,M03
2024-02-08,Noir Light,B10046,1028,17,0.43,28.6,7181.0,18.4,7.65,OP03,M03
2024-02-09,Noir Corsé,B10047,998,15,0.65,33.6,6177.0,18.8,7.84,OP05,M02
2024-02-09,Noir Extrême,B10048,979,21,0.93,34.5,6669.0,19.7,6.68,OP02,M02
2024-02-10,Noir Light,B10049,1370,18,1.16,40.5,6735.0,18.9,7.26,OP05,M02
2024-02-11,Noir Gourmand,B10050,1284,18,0.98,39.8,6333.0,19.1,7.23,OP02,M02
2024-02-12,Noir Light,B10051,878,11,0.51,32.7,7072.0,16.3,6.73,OP04,M02
2024-02-13,Noir Corsé,B10052,1017,13,0.67,35.6,6499.0,16.8,7.13,OP02,M03
2024-02-14,Noir Gourmand,B10053,1387,23,0.31,32.9,6904.0,19.4,7.93,OP01,M03
2024-02-15,Noir Corsé,B10054,1415,30,0.74,31.8,6583.0,17.6,7.5,OP05,M03
2024-02-15,Noir Corsé,B10055,1276,27,1.18,35.5,7088.0,18.4,7.49,OP02,M03
2024-02-16,Noir Extrême,B10056,937,25,0.46,31.6,6393.0,17.8,7.01,OP04,M03
2024-02-17,Noir Corsé,B10057,1056,17,0.72,38.5,6063.0,19.8,6.84,OP04,M02
2024-02-18,Noir Extrême,B10058,830,23,0.48,28.3,6183.0,16.5,7.5,OP01,M03
2024-02-19,Noir Gourmand,B10059,1060,19,0.45,36.5,6898.0,16.5,7.73,OP04,M01
2024-02-20,Lait Suprême,B10060,825,16,0.82,40.7,6450.0,19.8,6.8,OP05,M01
2024-02-21,Noir Gourmand,B10061,903,18,0.57,37.6,6967.0,19.2,7.35,OP02,M03
2024-02-21,Noir Extrême,B10062,1236,25,0.36,37.1,6015.0,17.7,7.24,OP05,M02
2024-02-22,Noir Corsé,B10063,955,13,0.96,41.5,6324.0,19.2,7.31,OP04,M02
2024-02-23,Noir Corsé,B10064,1404,17,1.07,39.6,6104.0,19.5,6.87,OP04,M02
2024-02-24,Noir Corsé,B10065,1482,23,0.33,39.9,6218.0,16.8,7.7,OP05,M03
2024-02-25,Lait Suprême,B10066,1080,17,0.76,30.7,6290.0,17.6,7.33,OP05,M02
2024-02-26,Noir Light,B10067,1459,23,0.7,28.2,6353.0,17.6,6.86,OP04,M03
2024-02-26,Noir Gourmand,B10068,1364,20,0.68,38.4,6397.0,18.8,6.91,OP04,M02
2024-02-27,Lait Suprême,B10069,996,14,0.97,41.3,6828.0,16.8,7.61,OP01,M01
2024-02-28,Lait Suprême,B10070,1335,26,1.18,39.7,6355.0,17.4,6.95,OP05,M03
2024-02-29,Noir Gourmand,B10071,845,16,0.8,37.8,6152.0,19.5,7.24,OP03,M01
2024-03-01,Noir Extrême,B10072,1278,28,0.61,41.5,6303.0,19.4,6.67,OP03,M03
2024-03-02,Noir Extrême,B10073,874,16,0.92,30.1,6973.0,19.8,6.63,OP04,M02
2024-03-03,Noir Light,B10074,1224,16,1.01,31.2,6627.0,17.8,7.16,OP05,M01
2024-03-03,Noir Gourmand,B10075,1380,22,0.85,38.4,7137.0,16.8,6.82,OP03,M02
2024-03-04,Noir Extrême,B10076,976,19,0.44,33.7,6827.0,17.9,6.55,OP02,M01
2024-03-05,Lait Suprême,B10077,1262,17,0.51,31.7,6949.0,18.4,7.71,OP03,M03
2024-03-06,Noir Light,B10078,1355,14,0.43,31.7,6171.0,16.2,7.69,OP01,M02
2024-03-07,Noir Gourmand,B10079,1093,18,0.72,32.3,6483.0,17.1,7.31,OP05,M03
2024-03-08,Noir Corsé,B10080,839,15,0.96,36.5,6031.0,16.9,7.51,OP05,M01
2024-03-09,Noir Gourmand,B10081,1486,32,0.82,38.7,6210.0,18.1,7.16,OP01,M03
2024-03-09,Lait Suprême,B10082,1244,21,0.74,29.3,6418.0,17.3,7.51,OP05,M01
2024-03-10,Noir Light,B10083,1305,14,1.15,39.4,6660.0,17.8,6.97,OP04,M02
2024-03-11,Lait Suprême,B10084,1324,25,0.3,40.2,6554.0,16.2,7.28,OP04,M01
2024-03-12,Noir Gourmand,B10085,851,11,0.79,41.0,6526.0,18.8,6.68,OP04,M02
2024-03-13,Noir Gourmand,B10086,1116,17,0.8,29.3,7191.0,19.7,7.19,OP02,M01
2024-03-14,Noir Extrême,B10087,1308,37,0.56,37.9,6499.0,17.9,7.21,OP02,M03
2024-03-14,Noir Corsé,B10088,1190,16,0.84,38.4,6164.0,16.3,7.66,OP02,M03
2024-03-15,Noir Corsé,B10089,1071,17,0.55,32.2,6704.0,20.0,7.23,OP05,M02
2024-03-16,Noir Light,B10090,1293,14,0.8,35.6,6546.0,17.3,6.78,OP05,M02
2024-03-17,Noir Light,B10091,1037,18,0.67,32.5,6568.0,19.7,7.07,OP04,M03
2024-03-18,Noir Light,B10092,928,11,0.83,40.2,7049.0,17.8,7.29,OP01,M02
2024-03-19,Noir Corsé,B10093,1217,22,1.17,29.0,6938.0,17.1,7.43,OP02,M01
2024-03-20,Noir Corsé,B10094,1134,23,1.07,33.3,6380.0,18.9,7.64,OP01,M03
2024-03-20,Noir Gourmand,B10095,869,11,0.92,32.0,6273.0,16.4,7.97,OP05,M01
2024-03-21,Noir Extrême,B10096,1104,25,0.34,39.1,6352.0,17.5,6.72,OP02,M02
2024-03-22,Noir Gourmand,B10097,1496,26,0.45,29.1,7045.0,18.5,6.86,OP05,M02
2024-03-23,Noir Gourmand,B10098,1270,21,0.71,37.3,7079.0,17.9,6.93,OP02,M01
2024-03-24,Noir Gourmand,B10099,1250,24,1.19,32.2,7154.0,18.8,7.19,OP01,M01
2024-03-25,Lait Suprême,B10100,1292,17,0.64,33.0,6355.0,18.8,6.53,OP04,M01
2024-03-26,Noir Corsé,B10101,1377,23,1.0,41.6,7093.0,19.0,7.75,OP01,M02
2024-03-26,Lait Suprême,B10102,1158,15,0.47,31.5,6907.0,19.1,7.52,OP05,M01
2024-03-27,Noir Light,B10103,1440,22,0.58,34.2,6695.0,18.9,6.64,OP01,M03
2024-03-28,Lait Suprême,B10104,978,13,1.01,40.3,6439.0,18.0,6.91,OP04,M02
2024-03-29,Noir Light,B10105,1100,15,0.6,29.6,7155.0,16.6,7.95,OP04,M02
2024-03-30,Noir Corsé,B10106,891,17,0.31,35.5,6546.0,18.7,7.51,OP03,M03
2024-03-31,Noir Gourmand,B10107,909,14,0.72,36.7,7132.0,17.3,7.42,OP03,M02
2024-03-31,Noir Extrême,B10108,1107,27,0.41,28.6,6045.0,20.0,6.67,OP04,M03
2024-04-01,Noir Light,B10109,1195,16,0.9,38.4,7135.0,17.7,7.61,OP02,M03
2024-04-02,Noir Light,B10110,1299,17,1.15,31.9,6828.0,16.9,7.17,OP01,M02
2024-04-03,Noir Light,B10111,1174,15,1.18,33.0,6478.0,16.8,6.68,OP01,M02
2024-04-04,Noir Corsé,B10112,1455,23,1.17,28.7,6400.0,20.0,7.68,OP02,M01
2024-04-05,Noir Light,B10113,1010,13,1.03,31.3,6929.0,19.2,7.39,OP05,M01
2024-04-06,Lait Suprême,B10114,1351,18,0.46,37.3,6031.0,16.1,7.68,OP02,M01
2024-04-06,Noir Light,B10115,815,10,0.35,38.4,6631.0,19.0,7.21,OP03,M03
2024-04-07,Lait Suprême,B10116,910,16,0.5,36.6,6873.0,19.6,7.49,OP05,M03
2024-04-08,Lait Suprême,B10117,861,17,1.06,34.0,6130.0,18.8,7.17,OP01,M02
2024-04-09,Noir Extrême,B10118,950,12,0.55,36.9,6658.0,17.3,7.99,OP05,M02
2024-04-10,Noir Gourmand,B10119,1315,20,0.39,37.8,7023.0,18.6,7.65,OP04,M02
2024-04-11,Noir Light,B10120,1031,12,1.04,33.6,6876.0,17.3,6.97,OP04,M02
2024-04-12,Lait Suprême,B10121,1283,15,1.05,29.3,6116.0,19.0,7.72,OP02,M02
2024-04-12,Noir Gourmand,B10122,1373,22,0.9,33.8,7048.0,19.8,7.13,OP05,M01
2024-04-13,Noir Extrême,B10123,1117,18,0.82,31.0,6788.0,16.9,6.66,OP05,M02
2024-04-14,Noir Gourmand,B10124,1083,16,1.03,39.8,7169.0,19.3,7.42,OP01,M02
2024-04-15,Noir Gourmand,B10125,1471,27,0.54,30.5,6843.0,17.2,7.01,OP05,M01
2024-04-16,Noir Extrême,B10126,1377,29,0.36,38.4,7166.0,16.4,7.3,OP02,M01
2024-04-17,Noir Corsé,B10127,1147,13,0.58,32.5,7130.0,18.4,7.83,OP04,M02
2024-04-17,Noir Light,B10128,849,11,0.54,37.3,6583.0,17.8,6.91,OP05,M01
2024-04-18,Noir Gourmand,B10129,1238,15,0.91,36.3,6632.0,17.2,6.83,OP03,M01
2024-04-19,Noir Gourmand,B10130,1007,13,0.49,29.9,6307.0,17.3,6.51,OP01,M01
2024-04-20,Noir Corsé,B10131,1187,17,0.51,35.8,6802.0,17.4,7.1,OP02,M01
2024-04-21,Noir Extrême,B10132,1268,29,1.08,36.1,6688.0,18.8,7.13,OP01,M02
2024-04-22,Noir Extrême,B10133,1130,16,1.15,34.4,6828.0,17.4,7.16,OP01,M02
2024-04-23,Noir Extrême,B10134,1401,25,0.37,40.2,6895.0,16.9,7.67,OP04,M01
2024-04-23,Noir Extrême,B10135,1341,30,1.12,32.9,6873.0,19.3,7.72,OP01,M03
2024-04-24,Noir Light,B10136,1060,11,0.84,38.6,6787.0,16.7,7.66,OP02,M01
2024-04-25,Noir Corsé,B10137,1391,19,1.13,35.9,6762.0,18.5,7.8,OP05,M02
2024-04-26,Lait Suprême,B10138,868,13,0.87,39.1,6710.0,17.4,6.61,OP04,M01
2024-04-27,Noir Corsé,B10139,857,11,0.56,37.0,7173.0,16.4,7.39,OP01,M02
2024-04-28,Noir Corsé,B10140,1365,24,0.97,28.6,7091.0,18.3,6.78,OP05,M02
2024-04-29,Noir Gourmand,B10141,953,17,0.71,39.4,7005.0,19.9,6.63,OP05,M02
2024-04-29,Noir Light,B10142,1246,20,0.77,36.5,6437.0,19.7,7.08,OP02,M01
2024-04-30,Lait Suprême,B10143,852,18,0.88,28.9,6113.0,18.7,6.93,OP05,M03
2024-05-01,Noir Gourmand,B10144,882,14,0.43,32.9,7161.0,18.8,7.09,OP03,M01
2024-05-02,Noir Gourmand,B10145,1115,20,0.88,32.6,6153.0,18.8,7.92,OP01,M03
2024-05-03,Noir Gourmand,B10146,1318,18,0.63,30.5,6257.0,19.8,7.23,OP04,M01
2024-05-04,Noir Light,B10147,878,10,1.01,35.1,6648.0,19.0,7.29,OP02,M01
2024-05-04,Lait Suprême,B10148,1409,24,0.45,39.6,6925.0,19.2,6.75,OP02,M03
2024-05-05,Noir Corsé,B10149,1171,19,0.51,34.2,6342.0,19.0,7.17,OP04,M01
2024-05-06,Noir Gourmand,B10150,1278,24,0.47,37.5,6685.0,17.8,7.65,OP03,M01
2024-05-07,Noir Corsé,B10151,1226,26,1.04,39.2,6166.0,17.0,7.46,OP05,M03
2024-05-08,Lait Suprême,B10152,1326,30,0.56,38.7,6327.0,19.6,6.72,OP01,M03
2024-05-09,Noir Corsé,B10153,1259,22,1.14,33.8,6476.0,17.5,7.08,OP02,M01
2024-05-10,Noir Extrême,B10154,827,13,0.39,38.0,6402.0,16.6,6.56,OP02,M02
2024-05-10,Noir Corsé,B10155,1278,21,0.3,29.1,6307.0,19.3,7.32,OP02,M03
2024-05-11,Noir Gourmand,B10156,912,19,0.51,29.7,6286.0,18.6,7.43,OP04,M03
2024-05-12,Noir Extrême,B10157,1409,28,0.87,36.1,6862.0,17.2,6.5,OP04,M01
2024-05-13,Lait Suprême,B10158,1224,16,0.9,35.3,6433.0,19.8,7.32,OP05,M01
2024-05-14,Noir Gourmand,B10159,1197,26,0.34,33.4,6448.0,19.0,7.04,OP01,M03
2024-05-15,Noir Extrême,B10160,1470,29,0.99,38.3,6399.0,16.2,7.32,OP02,M02
2024-05-16,Noir Light,B10161,1288,19,1.03,28.9,6931.0,17.8,6.94,OP04,M03
2024-05-16,Noir Extrême,B10162,1121,27,0.76,41.8,6652.0,17.0,7.63,OP01,M01
2024-05-17,Noir Light,B10163,847,12,0.6,29.7,6442.0,19.6,7.61,OP03,M02
2024-05-18,Noir Corsé,B10164,1306,20,0.63,39.2,6320.0,16.3,7.14,OP02,M02
2024-05-19,Noir Corsé,B10165,1356,20,0.39,32.6,6355.0,17.8,7.58,OP02,M03
2024-05-20,Noir Light,B10166,1157,16,0.95,40.8,6738.0,17.7,7.46,OP04,M03
2024-05-21,Noir Extrême,B10167,1170,22,0.97,30.2,6037.0,19.4,7.52,OP04,M01
2024-05-21,Noir Corsé,B10168,867,11,0.88,33.1,7139.0,16.1,6.73,OP02,M01
2024-05-22,Noir Corsé,B10169,1252,20,0.82,35.4,6478.0,18.6,6.87,OP03,M02
2024-05-23,Noir Extrême,B10170,1309,25,1.12,29.6,6930.0,18.8,6.82,OP02,M01
2024-05-24,Noir Gourmand,B10171,1002,12,1.07,34.3,7078.0,17.8,6.63,OP04,M02
2024-05-25,Lait Suprême,B10172,865,16,0.56,32.2,6189.0,18.8,7.55,OP03,M03
2024-05-26,Noir Light,B10173,1027,10,0.48,29.9,6948.0,16.1,7.33,OP05,M02
2024-05-27,Lait Suprême,B10174,931,15,0.38,32.3,7200.0,18.9,7.29,OP05,M02
2024-05-27,Noir Corsé,B10175,927,20,0.88,34.3,6816.0,17.4,7.82,OP01,M03
2024-05-28,Noir Gourmand,B10176,985,20,0.42,35.0,7042.0,19.3,7.28,OP05,M03
2024-05-29,Lait Suprême,B10177,1128,23,0.5,41.3,6623.0,17.1,6.62,OP02,M01
2024-05-30,Noir Light,B10178,1079,12,0.57,35.5,6603.0,16.7,7.91,OP05,M03
2024-05-31,Noir Light,B10179,1417,16,1.13,28.6,7037.0,16.3,7.92,OP05,M01
2024-06-01,Noir Gourmand,B10180,1383,19,0.88,35.0,6753.0,17.2,7.93,OP02,M02
2024-06-02,Noir Corsé,B10181,1102,15,0.92,30.2,6499.0,17.9,7.01,OP04,M01
2024-06-02,Noir Light,B10182,1151,17,0.42,33.2,6674.0,17.3,7.2,OP03,M02
2024-06-03,Lait Suprême,B10183,943,11,0.56,33.4,6738.0,17.0,7.8,OP02,M02
2024-06-04,Noir Light,B10184,1118,11,0.44,41.9,6560.0,19.5,7.25,OP05,M02
2024-06-05,Noir Extrême,B10185,1266,30,0.49,32.9,6061.0,18.0,7.82,OP05,M02
2024-06-06,Noir Corsé,B10186,807,13,0.69,40.4,6873.0,19.1,7.05,OP05,M02
2024-06-07,Noir Corsé,B10187,1373,17,0.8,29.0,6605.0,19.1,6.92,OP05,M01
2024-06-07,Noir Gourmand,B10188,920,12,0.39,33.2,7184.0,18.2,7.05,OP05,M03
2024-06-08,Noir Light,B10189,1319,16,0.34,28.5,6856.0,19.2,7.28,OP05,M01
2024-06-09,Noir Light,B10190,942,12,0.85,30.3,7189.0,19.0,6.95,OP05,M03
2024-06-10,Lait Suprême,B10191,1343,25,0.81,34.6,6020.0,17.3,6.66,OP05,M03
2024-06-11,Noir Corsé,B10192,1442,18,0.73,41.5,6939.0,19.1,7.37,OP03,M03
2024-06-12,Noir Extrême,B10193,973,22,0.95,38.8,6456.0,19.3,6.86,OP04,M03
2024-06-13,Noir Gourmand,B10194,994,13,0.58,30.1,6829.0,17.6,7.66,OP01,M03
2024-06-13,Noir Corsé,B10195,940,16,0.8,42.0,6574.0,17.5,7.94,OP01,M03
2024-06-14,Noir Corsé,B10196,1357,21,0.99,38.1,6772.0,18.8,7.42,OP03,M03
2024-06-15,Noir Light,B10197,1369,15,1.15,41.8,6925.0,18.8,7.54,OP03,M01
2024-06-16,Noir Corsé,B10198,1155,16,1.14,38.1,6345.0,18.3,7.31,OP04,M02
2024-06-17,Noir Corsé,B10199,1095,11,1.16,29.1,7109.0,18.6,7.62,OP02,M02
2024-06-18,Noir Light,B10200,1075,16,0.93,29.9,6739.0,18.3,6.86,OP05,M01
2024-06-19,Noir Gourmand,B10201,852,10,0.6,34.6,6817.0,16.5,7.95,OP02,M01
2024-06-19,Noir Light,B10202,1286,17,0.98,32.0,6342.0,16.2,7.65,OP04,M02
2024-06-20,Noir Gourmand,B10203,837,16,0.46,40.4,6211.0,19.7,8.0,OP05,M01
2024-06-21,Noir Corsé,B10204,1094,18,0.31,36.0,6129.0,19.9,6.93,OP02,M02
2024-06-22,Noir Gourmand,B10205,936,20,0.72,30.7,6135.0,16.6,7.19,OP04,M03
2024-06-23,Lait Suprême,B10206,813,17,1.01,35.9,6909.0,16.7,7.78,OP02,M03
2024-06-24,Noir Corsé,B10207,1133,12,0.9,30.6,6169.0,17.3,6.87,OP05,M02
2024-06-24,Lait Suprême,B10208,1255,22,1.16,32.2,6867.0,16.0,7.48,OP02,M02
2024-06-25,Noir Light,B10209,1274,14,0.66,35.0,7074.0,18.8,6.97,OP01,M01
2024-06-26,Noir Extrême,B10210,1174,28,0.5,29.9,6184.0,19.0,7.41,OP03,M03
2024-06-27,Noir Corsé,B10211,1280,25,1.02,39.6,6914.0,18.7,7.39,OP05,M03
2024-06-28,Noir Extrême,B10212,1338,34,0.37,35.9,6074.0,18.2,7.26,OP04,M03
2024-06-29,Noir Gourmand,B10213,967,15,0.77,29.6,6246.0,18.3,6.64,OP02,M03
2024-06-30,Noir Gourmand,B10214,1262,15,0.67,35.9,6671.0,18.7,6.96,OP01,M02
2024-06-30,Noir Extrême,B10215,802,17,0.82,28.6,6413.0,16.3,7.99,OP03,M02
2024-07-01,Noir Extrême,B10216,1091,19,0.99,38.7,7174.0,18.6,7.13,OP01,M02
2024-07-02,Noir Corsé,B10217,1182,13,1.17,40.2,6160.0,19.4,6.68,OP04,M02
2024-07-03,Noir Gourmand,B10218,929,15,0.5,28.0,6027.0,17.2,7.51,OP05,M02
2024-07-04,Noir Gourmand,B10219,1186,21,0.52,32.8,6331.0,19.7,7.59,OP05,M02
2024-07-05,Noir Extrême,B10220,1427,32,1.1,28.2,6247.0,16.4,6.55,OP04,M01
2024-07-06,Noir Gourmand,B10221,1048,21,0.66,31.3,6261.0,19.5,6.58,OP01,M03
2024-07-06,Noir Gourmand,B10222,1387,18,0.84,37.4,6385.0,17.2,6.71,OP02,M02
2024-07-07,Noir Gourmand,B10223,1105,15,0.8,36.3,6882.0,16.7,7.52,OP04,M01
2024-07-08,Noir Gourmand,B10224,1150,21,0.9,39.0,6382.0,17.7,6.72,OP01,M02
2024-07-09,Noir Corsé,B10225,1282,16,0.5,40.0,6173.0,17.9,6.59,OP05,M01
2024-07-10,Noir Corsé,B10226,1340,15,0.52,30.8,6776.0,19.7,7.77,OP05,M02
2024-07-11,Noir Extrême,B10227,851,16,0.91,36.4,7048.0,16.8,7.64,OP02,M03
2024-07-11,Noir Gourmand,B10228,1011,19,0.6,41.4,6018.0,19.7,7.94,OP04,M01
2024-07-12,Noir Extrême,B10229,1046,26,0.93,33.6,6287.0,17.3,6.92,OP04,M03
2024-07-13,Noir Corsé,B10230,1113,16,0.76,35.0,6118.0,19.9,7.2,OP03,M03
2024-07-14,Lait Suprême,B10231,1118,17,0.81,31.1,6175.0,17.0,7.9,OP03,M01
2024-07-15,Noir Gourmand,B10232,1100,15,0.6,33.3,7000.0,18.0,7.48,OP04,M03
2024-07-16,Lait Suprême,B10233,1455,26,0.71,38.3,6423.0,16.6,7.32,OP04,M02
2024-07-17,Noir Light,B10234,1334,14,1.06,41.2,6802.0,19.1,7.12,OP01,M03
2024-07-17,Noir Light,B10235,808,9,0.71,28.8,6765.0,19.7,7.87,OP02,M01
2024-07-18,Noir Corsé,B10236,1342,20,0.31,35.4,6330.0,19.9,6.53,OP01,M01
2024-07-19,Noir Corsé,B10237,897,13,0.52,36.7,6303.0,17.4,7.69,OP01,M01
2024-07-20,Noir Extrême,B10238,1268,24,1.19,31.2,6821.0,19.4,7.48,OP04,M02
2024-07-21,Noir Extrême,B10239,1186,21,0.73,36.9,6843.0,16.3,7.77,OP04,M01
2024-07-22,Lait Suprême,B10240,1338,31,0.51,40.6,6831.0,18.3,6.91,OP01,M03
2024-07-23,Noir Extrême,B10241,1354,31,0.33,41.0,6377.0,19.8,7.38,OP03,M03
2024-07-23,Noir Corsé,B10242,965,14,0.81,39.9,6812.0,18.2,7.08,OP03,M01
2024-07-24,Noir Light,B10243,1310,21,0.61,29.4,6279.0,16.3,7.41,OP01,M03
2024-07-25,Noir Gourmand,B10244,1132,15,0.55,41.9,6589.0,17.4,7.91,OP04,M03
2024-07-26,Noir Corsé,B10245,1474,20,0.99,32.1,6296.0,16.3,6.9,OP05,M01
2024-07-27,Noir Corsé,B10246,1196,18,0.4,28.1,6370.0,17.4,6.9,OP02,M03
2024-07-28,Noir Light,B10247,1239,15,0.8,33.7,6032.0,17.4,6.64,OP02,M01
2024-07-28,Noir Gourmand,B10248,811,11,0.65,29.2,7081.0,19.6,7.97,OP04,M02
2024-07-29,Noir Gourmand,B10249,1187,17,0.54,31.8,6175.0,16.7,6.91,OP02,M03
2024-07-30,Lait Suprême,B10250,1167,15,0.52,36.8,6713.0,16.8,6.66,OP01,M02
2024-07-31,Lait Suprême,B10251,1138,22,0.64,40.1,6528.0,17.7,7.74,OP04,M01
2024-08-01,Noir Gourmand,B10252,1126,18,0.93,34.7,6213.0,17.6,6.98,OP03,M01
2024-08-02,Noir Corsé,B10253,1131,17,1.03,33.5,6137.0,18.3,7.39,OP02,M03
2024-08-03,Noir Gourmand,B10254,826,16,0.72,37.9,6526.0,17.2,7.54,OP05,M01
2024-08-03,Noir Corsé,B10255,941,17,0.52,37.2,6858.0,19.2,6.61,OP04,M03
2024-08-04,Noir Gourmand,B10256,1208,18,1.13,40.2,6502.0,16.1,7.95,OP05,M02
2024-08-05,Noir Gourmand,B10257,910,18,0.89,33.0,6776.0,16.2,7.98,OP01,M03
2024-08-06,Noir Corsé,B10258,907,9,0.53,35.1,6623.0,18.3,7.36,OP04,M02
2024-08-07,Noir Corsé,B10259,1272,20,0.83,35.0,6414.0,16.1,6.66,OP04,M02
2024-08-08,Noir Corsé,B10260,944,12,0.61,39.0,6625.0,17.4,6.65,OP01,M01
2024-08-09,Noir Corsé,B10261,1105,12,0.94,28.3,6412.0,16.4,7.7,OP01,M02
2024-08-09,Noir Light,B10262,1363,16,0.8,41.4,6278.0,17.6,6.78,OP02,M03
2024-08-10,Noir Corsé,B10263,1426,24,0.7,34.0,6005.0,16.9,6.92,OP01,M02
2024-08-11,Noir Extrême,B10264,1347,24,0.59,34.4,6315.0,19.5,7.29,OP01,M03
2024-08-12,Lait Suprême,B10265,1423,25,0.4,32.9,6549.0,16.7,7.51,OP04,M03
2024-08-13,Lait Suprême,B10266,885,18,0.58,31.3,6140.0,17.5,6.71,OP05,M03
2024-08-14,Noir Corsé,B10267,940,13,0.68,34.8,6645.0,19.7,7.9,OP05,M02
2024-08-14,Noir Light,B10268,1299,17,0.47,39.8,6743.0,19.5,7.93,OP02,M03
2024-08-15,Noir Corsé,B10269,1191,22,0.75,34.9,6822.0,17.7,7.76,OP02,M01
